#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"
1000	-1030.4601125844597	30.278770376367035	0	0.00039505958557128906
2000	-1025.0995926477642	46.17577303153614	1.49e+03	0.29032421112060547
3000	-1006.4075761132374	58.89845854291447	1.49e+03	0.5801434516906738
4000	-994.1951859251576	72.46665500845684	1.49e+03	0.8710594177246094
5000	-975.5722695158444	78.80873175574742	1.49e+03	1.1625535488128662
6000	-984.8960752255174	103.20011801286354	1.49e+03	1.451904058456421
7000	-962.9241391826969	109.41386358460481	1.49e+03	1.7418346405029297
8000	-951.8781234669434	120.71433339712684	1.49e+03	2.0334274768829346
9000	-948.5548940752396	125.39051415105881	1.49e+03	2.3256187438964844
10000	-926.6497270127604	127.9820950730791	1.49e+03	2.6169557571411133
11000	-922.5551727005075	146.4745431160599	1.49e+03	2.909000873565674
12000	-906.0323843068576	142.36192542634242	1.48e+03	3.2060911655426025
13000	-914.1472464868575	155.91184432361342	1.48e+03	3.4975056648254395
14000	-904.1415873024932	157.32286744667155	1.48e+03	3.788442373275757
15000	-907.3366164781289	160.99902106897147	1.48e+03	4.082113742828369
16000	-908.9340895732486	171.31470795232036	1.48e+03	4.374309778213501
17000	-901.3288421206963	171.47830540223774	1.48e+03	4.665916204452515
18000	-879.1216080790476	162.09078468385792	1.48e+03	4.960601568222046
19000	-876.7382711021911	165.4916998007104	1.48e+03	5.254541635513306
20000	-853.7798324142727	171.10797125451407	1.48e+03	5.544570207595825
21000	-847.8659814125526	176.87628422534493	1.48e+03	5.835094690322876
22000	-861.5605597959587	186.55930002622486	1.48e+03	6.1243157386779785
23000	-860.5601190658523	193.14194801845144	1.48e+03	6.413992881774902
24000	-862.1516838853108	213.93392946431018	1.48e+03	6.704287528991699
25000	-871.0651662699662	235.799297810358	1.48e+03	6.994770288467407
26000	-837.6560387227181	214.76023026613888	1.48e+03	7.287136554718018
27000	-822.0119261507297	202.22850111397645	1.48e+03	7.578502893447876
28000	-814.2562026178033	194.85033340895924	1.48e+03	7.870063543319702
29000	-827.6911864758596	229.52205081218793	1.48e+03	8.16140103340149
30000	-823.3417332284381	236.18149723361645	1.48e+03	8.4524986743927
31000	-811.393019948155	230.1300669787444	1.48e+03	8.742997407913208
32000	-816.2844440708911	253.19825011674047	1.48e+03	9.036092042922974
33000	-821.6564930883194	274.1621710406175	1.48e+03	9.329902648925781
34000	-783.7901803152987	244.32085054439847	1.48e+03	9.62156629562378
35000	-800.8498090291574	257.3205690828784	1.48e+03	9.915131330490112
36000	-780.733590282641	239.89256530560937	1.48e+03	10.207159280776978
37000	-777.1421769881426	241.36335584008614	1.48e+03	10.49983549118042
38000	-769.7333267791164	256.36593269736875	1.48e+03	10.793466329574585
39000	-791.1522800875401	273.9449697432638	1.48e+03	11.086486577987671
40000	-753.3996960913178	235.87205848665818	1.48e+03	11.380202531814575
41000	-748.2596990533178	241.55027984951104	1.48e+03	11.671995878219604
42000	-786.6798756857265	281.36383893903417	1.48e+03	11.96482515335083
43000	-787.1624148135403	284.19265920996247	1.48e+03	12.2583909034729
44000	-738.3610479206234	237.53001545852396	1.48e+03	12.550055265426636
45000	-769.7417023598615	253.26724785538636	1.48e+03	12.841583251953125
46000	-791.6520857639093	288.73241749873284	1.48e+03	13.131733894348145
47000	-758.6798164013649	262.31595908410634	1.48e+03	13.420666933059692
48000	-749.6825822626806	251.33102014547447	1.48e+03	13.711132049560547
49000	-757.5450614317075	268.2237497305731	1.48e+03	13.998470783233643
50000	-738.9044588459736	257.8504168411251	1.48e+03	14.28740119934082
51000	-738.7174079780369	245.73329436865725	1.48e+03	14.577921390533447
52000	-732.2893735884974	255.65025444627088	1.48e+03	14.86908769607544
53000	-738.7537032787025	275.7663792082403	1.48e+03	15.157713413238525
